Nom,Date,Description
Mastère SILAT,1 septembre 2025 → 30 septembre 2026,"Le Mastère Spécialisé SILAT (Systèmes d’Informations Localisées pour l’Aménagement des Territoires) forme des spécialistes capables de piloter des projets géomatiques complexes, en combinant des compétences avancées en SIG, en télédétection, en gestion de données et en management de projet territorial. "
Master GER,12 septembre 2024 → 12 septembre 2025,"Le master GER (Géomatique Environnement et Risque) forme des professionnels de la gestion des risques induits par les changements environnementaux sous un angle résolument méthodologique. Cette spécialisation, intégrant une approche pluridisciplinaire, aborde ainsi les concepts, méthodes et outils de la géomatique afin de les mobiliser dans le cadre de démarches visant la résilience des territoires et la réduction de leur vulnérabilité face aux aléas.
"
Master G-IEA,2 octobre 2023 → 19 juillet 2024,"Master en Géomatique – Ingénierie de l’environnement et de l’aménagement, une formation dédiée à l’analyse et à la gestion des territoires à l’aide des technologies géospatiales (SIG, télédétection, analyse de données).
Formation professionnalisante combinant enseignements académiques, outils techniques et projets appliqués liés aux enjeux d’aménagement et d’environnement.
Au cours de ce master, j’ai été sélectionné pour le programme de double diplomation avec l’Université de Nantes, incluant une mobilité internationale en Master 2."
Ecole supérieur de travaux publics,16 septembre 2019 → 15 juin 2022,"La formation de Géomètre-Topographe de l’École supérieure de travaux publics à l’INP-HB forme des techniciens capables de réaliser des levés topographiques et de produire des plans nécessaires aux projets d’aménagement et de génie civil. Elle permet d’acquérir des compétences en mesure de terrain, en cartographie et en implantation d’ouvrages. Les étudiants apprennent à utiliser des instruments de précision et des logiciels de CAO/DAO et SIG. La formation combine enseignements théoriques, travaux pratiques et sorties de terrain. "
